NanoHarp 250 Histogram Data			02/04/2021 11:41:20 AM
#channels per curve
1075
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	
#counts
413	221	226	245	
367	237	272	244	
378	208	256	252	
391	209	253	269	
371	189	243	229	
353	191	250	224	
335	222	258	259	
370	196	228	208	
368	210	266	227	
384	214	272	236	
382	203	229	226	
422	189	225	220	
355	169	248	216	
406	195	252	222	
368	193	251	220	
350	173	212	213	
365	186	233	211	
381	200	207	211	
378	195	222	207	
345	187	215	226	
394	188	222	244	
385	185	226	206	
366	180	212	234	
365	183	199	213	
341	181	223	222	
336	176	220	199	
341	197	230	201	
341	190	215	216	
327	173	233	205	
354	191	220	225	
311	168	227	207	
362	202	231	211	
350	168	215	199	
313	189	217	194	
371	182	217	197	
318	196	184	209	
335	187	215	217	
351	183	220	183	
324	167	214	176	
327	184	215	177	
370	157	211	199	
341	166	207	192	
318	178	220	177	
284	170	208	185	
326	145	211	193	
355	181	206	206	
314	166	217	190	
350	158	204	186	
320	175	182	192	
295	170	216	167	
342	153	197	169	
337	153	220	192	
317	159	204	157	
361	160	195	198	
320	178	188	198	
337	168	196	174	
307	154	233	194	
332	166	191	167	
309	159	168	171	
315	173	197	175	
302	153	186	155	
320	182	188	190	
295	167	216	161	
346	147	196	178	
320	166	193	181	
305	160	212	167	
323	147	181	192	
322	130	187	156	
303	158	195	171	
307	173	168	146	
296	155	184	134	
326	144	193	171	
286	138	172	169	
289	142	176	187	
312	174	183	186	
307	142	162	175	
290	159	158	170	
296	165	201	183	
263	141	163	160	
292	143	187	163	
262	168	167	149	
284	161	157	178	
313	137	179	144	
281	129	168	151	
301	140	182	178	
265	138	196	157	
289	151	187	162	
287	147	165	158	
304	144	176	169	
284	129	203	157	
317	127	184	150	
278	146	182	149	
304	143	162	129	
288	130	166	157	
272	137	156	162	
290	136	161	146	
288	131	156	162	
283	153	161	141	
302	157	162	120	
273	143	168	180	
270	130	156	174	
298	122	160	125	
262	125	147	146	
291	145	153	124	
277	125	184	144	
280	143	187	140	
274	140	164	135	
266	116	162	125	
303	146	168	125	
258	140	147	140	
263	115	157	150	
268	130	166	145	
288	144	153	134	
253	158	124	152	
278	108	157	131	
259	142	142	137	
255	126	131	151	
243	128	165	126	
254	139	171	144	
246	106	157	122	
281	105	167	128	
232	106	156	129	
273	138	144	119	
219	137	124	133	
225	119	145	112	
255	116	137	127	
229	116	146	151	
254	126	152	111	
275	107	143	138	
244	101	145	132	
259	122	144	122	
270	108	151	111	
250	122	160	141	
241	114	141	130	
276	117	140	134	
236	131	150	111	
252	104	148	123	
249	121	142	125	
258	98	146	123	
243	114	151	112	
257	121	128	117	
235	105	151	110	
247	103	127	110	
282	119	146	141	
244	100	137	132	
230	117	135	126	
209	105	133	120	
240	115	148	132	
259	98	125	102	
237	104	123	119	
245	104	124	108	
235	121	113	109	
251	112	146	114	
231	95	156	118	
245	104	126	109	
241	105	117	118	
229	99	146	111	
211	123	139	120	
236	113	132	95	
238	102	130	108	
233	88	134	123	
221	105	138	119	
216	84	117	109	
190	92	136	91	
213	110	128	97	
217	92	111	96	
188	108	138	108	
213	116	130	90	
221	89	113	98	
223	90	135	118	
204	93	117	91	
217	110	130	99	
183	87	122	100	
230	82	110	101	
205	75	137	103	
222	90	137	112	
195	110	123	99	
203	114	111	110	
218	100	118	119	
237	83	130	91	
232	67	122	107	
196	101	116	86	
184	78	112	113	
215	90	123	106	
215	84	142	84	
174	85	103	90	
217	84	114	97	
218	98	109	98	
206	86	126	92	
206	76	127	87	
208	91	112	100	
199	82	113	90	
